timestamp,event_type,car_id,station_id,detail
2024-01-01 00:00:00.000000,car_entry,CAR-00000,ST-01,{}
2024-01-01 00:00:00.000000,shift_change,,ST-01,"{""handover_flagged"": false, ""operator_id"": ""OP-ST-01-A""}"
2024-01-01 00:01:01.362190,buffer_depth,,ST-02,"{""depth"": 1}"
2024-01-01 00:01:01.362190,car_exit,CAR-00000,ST-01,{}
2024-01-01 00:01:13.362190,buffer_depth,,ST-02,"{""depth"": 0}"
2024-01-01 00:01:13.362190,car_entry,CAR-00000,ST-02,{}
2024-01-01 00:01:13.362190,shift_change,,ST-02,"{""handover_flagged"": false, ""operator_id"": ""OP-ST-02-A""}"
2024-01-01 00:01:19.000000,car_entry,CAR-00001,ST-01,{}
2024-01-01 00:02:14.331558,buffer_depth,,ST-03,"{""depth"": 1}"
2024-01-01 00:02:14.331558,car_exit,CAR-00000,ST-02,{}
2024-01-01 00:02:19.931711,buffer_depth,,ST-02,"{""depth"": 1}"
2024-01-01 00:02:19.931711,car_exit,CAR-00001,ST-01,{}
2024-01-01 00:02:29.331558,buffer_depth,,ST-03,"{""depth"": 0}"
2024-01-01 00:02:29.331558,car_entry,CAR-00000,ST-03,{}
2024-01-01 00:02:29.331558,shift_change,,ST-03,"{""handover_flagged"": false, ""operator_id"": ""OP-ST-03-A""}"
2024-01-01 00:02:31.931711,buffer_depth,,ST-02,"{""depth"": 0}"
2024-01-01 00:02:31.931711,car_entry,CAR-00001,ST-02,{}
2024-01-01 00:02:38.000000,car_entry,CAR-00002,ST-01,{}
2024-01-01 00:03:32.059002,buffer_depth,,ST-04,"{""depth"": 1}"
2024-01-01 00:03:32.059002,car_exit,CAR-00000,ST-03,{}
2024-01-01 00:03:35.337076,buffer_depth,,ST-03,"{""depth"": 1}"
2024-01-01 00:03:35.337076,car_exit,CAR-00001,ST-02,{}
2024-01-01 00:03:39.345211,buffer_depth,,ST-02,"{""depth"": 1}"
2024-01-01 00:03:39.345211,car_exit,CAR-00002,ST-01,{}
2024-01-01 00:03:50.059002,buffer_depth,,ST-04,"{""depth"": 0}"
2024-01-01 00:03:50.059002,car_entry,CAR-00000,ST-04,{}
2024-01-01 00:03:50.059002,shift_change,,ST-04,"{""handover_flagged"": false, ""operator_id"": ""OP-ST-04-A""}"
2024-01-01 00:03:50.337076,buffer_depth,,ST-03,"{""depth"": 0}"
2024-01-01 00:03:50.337076,car_entry,CAR-00001,ST-03,{}
2024-01-01 00:03:51.345211,buffer_depth,,ST-02,"{""depth"": 0}"
2024-01-01 00:03:51.345211,car_entry,CAR-00002,ST-02,{}
2024-01-01 00:03:57.000000,car_entry,CAR-00003,ST-01,{}
2024-01-01 00:04:53.701265,buffer_depth,,ST-03,"{""depth"": 1}"
2024-01-01 00:04:53.701265,car_exit,CAR-00002,ST-02,{}
2024-01-01 00:04:54.118772,buffer_depth,,ST-05,"{""depth"": 1}"
2024-01-01 00:04:54.118772,car_exit,CAR-00000,ST-04,{}
2024-01-01 00:04:55.599590,buffer_depth,,ST-04,"{""depth"": 1}"
2024-01-01 00:04:55.599590,car_exit,CAR-00001,ST-03,{}
2024-01-01 00:04:58.148421,buffer_depth,,ST-02,"{""depth"": 1}"
2024-01-01 00:04:58.148421,car_exit,CAR-00003,ST-01,{}
2024-01-01 00:05:08.701265,buffer_depth,,ST-03,"{""depth"": 0}"
2024-01-01 00:05:08.701265,car_entry,CAR-00002,ST-03,{}
2024-01-01 00:05:10.148421,buffer_depth,,ST-02,"{""depth"": 0}"
2024-01-01 00:05:10.148421,car_entry,CAR-00003,ST-02,{}
2024-01-01 00:05:13.599590,buffer_depth,,ST-04,"{""depth"": 0}"
2024-01-01 00:05:13.599590,car_entry,CAR-00001,ST-04,{}
2024-01-01 00:05:15.118772,buffer_depth,,ST-05,"{""depth"": 0}"
2024-01-01 00:05:15.118772,car_entry,CAR-00000,ST-05,{}
2024-01-01 00:05:16.000000,car_entry,CAR-00004,ST-01,{}
2024-01-01 00:06:11.612035,buffer_depth,,ST-03,"{""depth"": 1}"
2024-01-01 00:06:11.612035,car_exit,CAR-00003,ST-02,{}
2024-01-01 00:06:12.703336,buffer_depth,,ST-04,"{""depth"": 1}"
2024-01-01 00:06:12.703336,car_exit,CAR-00002,ST-03,{}
2024-01-01 00:06:17.513564,buffer_depth,,ST-02,"{""depth"": 1}"
2024-01-01 00:06:17.513564,car_exit,CAR-00004,ST-01,{}
2024-01-01 00:06:20.898552,buffer_depth,,ST-05,"{""depth"": 1}"
2024-01-01 00:06:20.898552,car_exit,CAR-00001,ST-04,{}
2024-01-01 00:06:22.538338,buffer_depth,,ST-06,"{""depth"": 1}"
2024-01-01 00:06:22.538338,car_exit,CAR-00000,ST-05,{}
2024-01-01 00:06:26.612035,buffer_depth,,ST-03,"{""depth"": 0}"
2024-01-01 00:06:26.612035,car_entry,CAR-00003,ST-03,{}
2024-01-01 00:06:29.513564,buffer_depth,,ST-02,"{""depth"": 0}"
2024-01-01 00:06:29.513564,car_entry,CAR-00004,ST-02,{}
