timestamp,car_id,station_id,result,defect_type
2024-01-01 00:20:01.765179,CAR-00000,ST-16,pass,
2024-01-01 00:21:29.261622,CAR-00001,ST-16,pass,
2024-01-01 00:22:45.289838,CAR-00002,ST-16,pass,
2024-01-01 00:24:08.757295,CAR-00003,ST-16,pass,
2024-01-01 00:25:15.276457,CAR-00004,ST-16,pass,
2024-01-01 00:26:39.824270,CAR-00005,ST-16,pass,
2024-01-01 00:28:01.053673,CAR-00006,ST-16,pass,
2024-01-01 00:29:16.546013,CAR-00007,ST-16,pass,
2024-01-01 00:30:43.222900,CAR-00008,ST-16,fail,material_quality
2024-01-01 00:31:56.819461,CAR-00009,ST-16,pass,
2024-01-01 00:33:09.633265,CAR-00010,ST-16,pass,
2024-01-01 00:34:39.379443,CAR-00011,ST-16,pass,
2024-01-01 00:35:48.608785,CAR-00012,ST-16,pass,
2024-01-01 00:35:56.952610,CAR-00000,ST-26,pass,
2024-01-01 00:37:07.760940,CAR-00013,ST-16,pass,
2024-01-01 00:37:16.375816,CAR-00001,ST-26,pass,
2024-01-01 00:38:30.472680,CAR-00014,ST-16,pass,
2024-01-01 00:38:34.381026,CAR-00002,ST-26,pass,
2024-01-01 00:39:50.923060,CAR-00015,ST-16,pass,
2024-01-01 00:40:00.373816,CAR-00003,ST-26,pass,
2024-01-01 00:40:59.257043,CAR-00016,ST-16,pass,
2024-01-01 00:41:08.963181,CAR-00004,ST-26,pass,
2024-01-01 00:42:27.741773,CAR-00017,ST-16,pass,
2024-01-01 00:42:42.110096,CAR-00005,ST-26,pass,
2024-01-01 00:43:40.552973,CAR-00018,ST-16,pass,
2024-01-01 00:43:53.089487,CAR-00006,ST-26,pass,
2024-01-01 00:45:05.608724,CAR-00019,ST-16,pass,
2024-01-01 00:45:12.642264,CAR-00007,ST-26,pass,
2024-01-01 00:46:21.843050,CAR-00020,ST-16,pass,
2024-01-01 00:46:36.500748,CAR-00008,ST-26,pass,
2024-01-01 00:47:42.006576,CAR-00009,ST-26,pass,
2024-01-01 00:47:45.003509,CAR-00021,ST-16,pass,
2024-01-01 00:48:59.272043,CAR-00010,ST-26,pass,
2024-01-01 00:49:00.744014,CAR-00022,ST-16,pass,
2024-01-01 00:50:28.026451,CAR-00023,ST-16,pass,
2024-01-01 00:50:32.930305,CAR-00011,ST-26,pass,
2024-01-01 00:51:38.390825,CAR-00024,ST-16,pass,
2024-01-01 00:51:48.800435,CAR-00012,ST-26,pass,
2024-01-01 00:52:54.177562,CAR-00013,ST-26,pass,
2024-01-01 00:53:04.632100,CAR-00025,ST-16,pass,
2024-01-01 00:54:14.947854,CAR-00000,ST-42,pass,
2024-01-01 00:54:18.869741,CAR-00026,ST-16,pass,
2024-01-01 00:54:24.370910,CAR-00014,ST-26,pass,
2024-01-01 00:55:34.168579,CAR-00001,ST-42,pass,
2024-01-01 00:55:35.289396,CAR-00027,ST-16,pass,
2024-01-01 00:55:48.920127,CAR-00015,ST-26,pass,
2024-01-01 00:56:45.865561,CAR-00016,ST-26,pass,
2024-01-01 00:56:53.694521,CAR-00002,ST-42,pass,
2024-01-01 00:57:00.923588,CAR-00028,ST-16,pass,
2024-01-01 00:58:13.020731,CAR-00017,ST-26,pass,
2024-01-01 00:58:14.077009,CAR-00003,ST-42,pass,
2024-01-01 00:58:21.036096,CAR-00029,ST-16,pass,
2024-01-01 00:59:23.746979,CAR-00004,ST-42,pass,
2024-01-01 00:59:30.392602,CAR-00030,ST-16,pass,
2024-01-01 00:59:45.403301,CAR-00018,ST-26,pass,
2024-01-01 01:00:52.232796,CAR-00031,ST-16,pass,
2024-01-01 01:00:53.134925,CAR-00019,ST-26,pass,
2024-01-01 01:00:54.433831,CAR-00005,ST-42,pass,
2024-01-01 01:01:59.572434,CAR-00032,ST-16,pass,
2024-01-01 01:02:06.709977,CAR-00006,ST-42,pass,
2024-01-01 01:02:16.390059,CAR-00020,ST-26,pass,
2024-01-01 01:03:23.417327,CAR-00007,ST-42,pass,
2024-01-01 01:03:31.144859,CAR-00033,ST-16,pass,
2024-01-01 01:03:38.573459,CAR-00021,ST-26,pass,
