timestamp,car_id,station_id,sensor_id,quantity,value,acquisition_mode
2024-01-01 00:01:13.362190,CAR-00000,ST-02,ST-02-MANUAL-torque_nm,torque_nm,16.0,manual
2024-01-01 00:01:19.000000,CAR-00001,ST-01,ST-01-MANUAL-torque_nm,torque_nm,15.0,manual
2024-01-01 00:02:29.331558,CAR-00000,ST-03,ST-03-MANUAL-torque_nm,torque_nm,17.0,manual
2024-01-01 00:02:31.931711,CAR-00001,ST-02,ST-02-MANUAL-torque_nm,torque_nm,16.0,manual
2024-01-01 00:02:38.000000,CAR-00002,ST-01,ST-01-MANUAL-torque_nm,torque_nm,15.0,manual
2024-01-01 00:03:50.059002,CAR-00000,ST-04,ST-04-MANUAL-torque_nm,torque_nm,18.0,manual
2024-01-01 00:03:51.345211,CAR-00002,ST-02,ST-02-MANUAL-torque_nm,torque_nm,16.0,manual
2024-01-01 00:03:57.000000,CAR-00003,ST-01,ST-01-MANUAL-torque_nm,torque_nm,15.5,manual
2024-01-01 00:05:10.148421,CAR-00003,ST-02,ST-02-MANUAL-torque_nm,torque_nm,16.5,manual
2024-01-01 00:05:15.118772,CAR-00000,ST-05,ST-05-SEN-1,vibration,21.134,instrumented
2024-01-01 00:05:15.118772,CAR-00000,ST-05,ST-05-SEN-2,thermal,21.138,instrumented
2024-01-01 00:06:26.612035,CAR-00003,ST-03,ST-03-MANUAL-torque_nm,torque_nm,17.0,manual
2024-01-01 00:06:29.513564,CAR-00004,ST-02,ST-02-MANUAL-torque_nm,torque_nm,16.0,manual
2024-01-01 00:06:30.703336,CAR-00002,ST-04,ST-04-MANUAL-torque_nm,torque_nm,17.5,manual
2024-01-01 00:06:34.538338,CAR-00000,ST-06,ST-06-SEN-1,thermal,19.746,mixed
2024-01-01 00:06:34.538338,CAR-00000,ST-06,ST-06-SEN-2,torque,20.436,mixed
2024-01-01 00:06:35.000000,CAR-00005,ST-01,ST-01-MANUAL-torque_nm,torque_nm,15.5,manual
2024-01-01 00:06:41.898552,CAR-00001,ST-05,ST-05-SEN-1,vibration,17.485,instrumented
2024-01-01 00:06:41.898552,CAR-00001,ST-05,ST-05-SEN-2,thermal,19.069,instrumented
2024-01-01 00:07:46.779409,CAR-00004,ST-03,ST-03-MANUAL-torque_nm,torque_nm,17.0,manual
2024-01-01 00:07:46.785273,CAR-00005,ST-02,ST-02-MANUAL-torque_nm,torque_nm,16.5,manual
2024-01-01 00:07:49.330053,CAR-00003,ST-04,ST-04-MANUAL-torque_nm,torque_nm,18.0,manual
